"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 13:27:13 BRT 2023","Wed Apr 26 13:27:31 BRT 2023","17923","","Tests login features","","","","Login with fake email",""
"failed","Wed Apr 26 14:50:17 BRT 2023","Wed Apr 26 14:50:17 BRT 2023","222","","","","","","An uncaught error was detected outside of a test",""
"failed","Wed Apr 26 15:35:42 BRT 2023","Wed Apr 26 15:36:14 BRT 2023","32613","","Testing checkout page and ordering a product","","","","Reoders a product when you are logged in your account",""
"passed","Wed Apr 26 15:34:43 BRT 2023","Wed Apr 26 15:34:58 BRT 2023","15507","","Tests login features","","","","Login with wrong email and password",""
"passed","Wed Apr 26 15:34:58 BRT 2023","Wed Apr 26 15:35:18 BRT 2023","19188","","Tests login features","","","","Login testing required fields",""
"passed","Wed Apr 26 15:34:20 BRT 2023","Wed Apr 26 15:34:25 BRT 2023","4867","","Tests finding order feature","","","","Finding order by email and verifying its price",""
"passed","Wed Apr 26 15:34:25 BRT 2023","Wed Apr 26 15:34:28 BRT 2023","3421","","Tests finding order feature","","","","Finding order by zip, and verifying its price",""
"passed","Wed Apr 26 15:34:34 BRT 2023","Wed Apr 26 15:34:43 BRT 2023","9318","","Tests login features","","","","Normal Log In filling in email an password",""
"failed","Wed Apr 26 15:33:17 BRT 2023","Wed Apr 26 15:33:31 BRT 2023","13789","","Testing Cart","","","","Adding product to cart from home page",""
"failed","Wed Apr 26 15:33:48 BRT 2023","Wed Apr 26 15:34:08 BRT 2023","20299","","Testing Cart","","","","Adding product to cart from search",""
"failed","Wed Apr 26 15:35:28 BRT 2023","Wed Apr 26 15:35:42 BRT 2023","13275","","Testing checkout page and ordering a product","","","","Visits the home page and logs in",""
"failed","Wed Apr 26 15:33:31 BRT 2023","Wed Apr 26 15:33:48 BRT 2023","16609","","Testing Cart","","","","Adding product to cart from a category",""
