"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 14:43:06 BRT 2023","Thu Apr 27 14:43:43 BRT 2023","36755","","Testing Cart","","","","Adding product to cart from a category",""
"passed","Thu Apr 27 14:46:52 BRT 2023","Thu Apr 27 14:47:30 BRT 2023","38017","","Testing checkout page and ordering a product","","","","Reoders a product when you are logged in your account",""
"passed","Thu Apr 27 14:46:11 BRT 2023","Thu Apr 27 14:46:52 BRT 2023","40854","","Testing checkout page and ordering a product","","","","Orders a product when you are logged in your account and then proceed to checkout",""
"passed","Thu Apr 27 14:07:59 BRT 2023","Thu Apr 27 14:08:22 BRT 2023","23210","","Tests login features","","","","Login testing required fields",""
"passed","Thu Apr 27 14:42:31 BRT 2023","Thu Apr 27 14:43:06 BRT 2023","34715","","Testing Cart","","","","Adding product to cart from home page",""
"passed","Thu Apr 27 14:43:43 BRT 2023","Thu Apr 27 14:44:18 BRT 2023","34983","","Testing Cart","","","","Adding product to cart from search",""
"passed","Thu Apr 27 14:48:17 BRT 2023","Thu Apr 27 14:48:28 BRT 2023","10276","","Tests finding order feature","","","","Finding order by zip",""
"passed","Thu Apr 27 14:07:40 BRT 2023","Thu Apr 27 14:07:59 BRT 2023","18573","","Tests login features","","","","Login with wrong email and password",""
"passed","Thu Apr 27 14:07:26 BRT 2023","Thu Apr 27 14:07:40 BRT 2023","14535","","Tests login features","","","","Normal Log In filling in email an password",""
"passed","Thu Apr 27 14:48:05 BRT 2023","Thu Apr 27 14:48:17 BRT 2023","11958","","Tests finding order feature","","","","Finding order by email",""
